NB_OBJ,NB_SYS,SYSTEM_NAME,OBJ_CAT,OBJ_NAME,RA,DEC,EPOCH,PARALLAX,PARALLAX_ERROR,PARALLAX_BIBCODE,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,PM_BIBCODE,RV,RV_ERROR,RV_BIBCODE,SP_TYPE,SP_BIBCODE,SP_METHOD,G_CODE,G,G_ESTIMATE,GBP,GRP,U,B,V,R,I,J,H,K,SYSTEM_BIBCODE,EXOPLANET_COUNT,GAIA_DR2,GAIA_EDR3,SIMBAD_NAME,COMMON_NAME,GJ,HD,HIP,COMMENT
279,165,HD 165222,LM,HD 165222,271.2841138366,-3.03279800184145,2016,129.218449527746,0.025568604,2020yCat.1350....0G,569.735050000999,0.023447536,-332.725705841761,0.01941244,2020yCat.1350....0G,32.688,0.0006,2018A&A...616A...7S,M0,2002AJ....123.2002H,Opt Spec,3,8.519395,,9.602452,7.482928,12.09,10.878,9.36,8.385,7.304,6.161,5.57,5.306,,,Gaia DR2 4177731838628465408,Gaia EDR3 4177731838628465408,HD 165222,,GJ 701,HD 165222,HIP 88574,...
280,166,G 109-35,LM,G 109-35,104.874351157765,19.3448736850532,2016,128.986598275059,0.06069526,2020yCat.1350....0G,909.120518260484,0.062004723,-894.549325883264,0.051228162,2020yCat.1350....0G,-29.51,0.02,2020A&A...636A..36L,M5,2019A&A...625A..68S,Opt Spec,3,12.776403,,15.127557,11.390862,,16.78,,10.6,,9.16,8.547,8.23,,,Gaia DR2 3365063724883180288,Gaia EDR3 3365063724883180288,G 109-35,,GJ 1093,,,...
281,167,G 227-22,LM,G 227-22,270.571192820725,64.2605836190915,2016,128.305659767228,0.03191236,2020yCat.1350....0G,196.39438808301,0.041411985,-383.788841678276,0.039699703,2020yCat.1350....0G,-1.627,0.05,2020A&A...636A..36L,M5,2015A&A...577A.128A,Opt Spec,3,11.758081,,13.707304,10.448387,,14.74,,13.01,,8.541,7.962,7.652,,,Gaia DR2 2161121135533953536,Gaia EDR3 2161121135533953536,G 227-22,,,,,...
282,168,WISEP J180026.60+013453.1,BD,WISEP J180026.60+013453.1,270.111144630285,1.58076369973362,2016,128.054616543861,0.5101415,2020yCat.1350....0G,183.733645974978,0.5255214,-384.108152026499,0.44160265,2020yCat.1350....0G,-5.1,0.7,2015AJ....150..179G,L7.5,2011AJ....142..171G,NIR Spec,3,19.574926,,21.612446,17.875895,,,,,,14.298,13.12,12.421,,,Gaia DR2 4468009917744160000,Gaia EDR3 4468009917744160000,WISEP J180026.60+013453.1,,,,,...
283,169,G 202-45,LM,GJ 623 A,246.04650958286,48.35086939804,2016,127.4785,0.4818,2018yCat.1345....0G,1151.232,0.932,-499.079,0.929,2018yCat.1345....0G,-28.06,0.59,2018yCat.1345....0G,M3e,2013AJ....145..102L,Opt Spec,3,9.2536,,10.532684,8.13169,,12.099,,,,6.638,6.141,5.915,2007ApJ...661..496M,,Gaia DR2 1411178510887026048,Gaia EDR3 1411178510887026048,GJ 623 A,,GJ 623,,HIP 80346,...
284,169,G 202-45,LM?,GJ 623 B,246.04650958286,48.35086939804,2016,127.4785,0.4818,FROM:GJ623A,1151.232,0.932,-499.079,0.929,FROM:GJ623A,,,,,,,,,,,,,,,,,,,,2007ApJ...661..496M,,,,GJ 623 B,,,,,Possible M dwarf
285,170,CD-68 47,LM,CD-68 47 A,17.5999010813895,-67.4423909116854,2016,126.9,0.4,2016AJ....152..141B,393.813,1.911,584.031,1.945,2018yCat.1345....0G,26,7.9,2007AN....328..889K,M2.5,2006AJ....132..161G,Opt Spec,3,8.74208,,10.04748,7.542217,12.515,11.368,9.824,8.73,7.353,5.997,5.409,5.132,2004AJ....128.1733G,,Gaia DR2 4704272495284592512,Gaia EDR3 4704272495284592512,CD-68 47,,GJ 54,,HIP 5496,Parallax taking into account the 418d orbit from 2016AJ....152..141B probably more accurate than  EDR3 value
286,170,CD-68 47,LM?,CD-68 47 B,17.5999010813895,-67.4423909116854,2016,126.9,0.4,FROM:CD-6847A,393.813,1.911,584.031,1.945,FROM:CD-6847,,,,,,,,,,,,,,10.854,,,,,,2004AJ....128.1733G,,,,CD-68 47,,,,,Possible M dwarf
287,171,WISE J000517.48+373720.5,BD,WISE J000517.48+373720.5,1.324667,37.621951,2015.5,126.9,2.1,2021ApJS..253....7K,997.3,1,-271.6,1,2021ApJS..253....7K,,,,T9,2014yCat.5144....0M,NIR Spec,20,,25.26,,,,,,,,18.33,18.1,,,,,,WISE J000517.48+373720.5,,,,,...
288,172,2MASS J07290002-3954043,BD,2MASS J07290002-3954043,112.250104,-39.901222,2000,126.3,8.3,2012ApJ...752...56F,-566.6,5.3,1643.4,5.5,2012ApJ...752...56F,,,,T8pec,2007AJ....134.1162L,NIR Spec,20,,24.49,,,,,,,,15.92,15.979,15.29,,,,,2MASS J07290002-3954043,,,,,...
289,173,G 154-44,LM,G 154-44,271.88396508794,-15.9646168260181,2016,125.450854765309,0.030566534,2020yCat.1350....0G,-618.406202304898,0.033321004,-347.006672715401,0.026892308,2020yCat.1350....0G,-33.2,0.024,2020A&A...636A..36L,M4e,2015AJ....149..106D,Opt Spec,3,11.863026,,13.779869,10.560308,,15.44,13.48,12.08,10.31,8.639,8.085,7.827,,,Gaia DR2 4145870293808914688,Gaia EDR3 4145870293808914688,G 154-44,,GJ 1224,,,...
290,174,SCR J0740-4257,LM,SCR J0740-4257,115.046260423277,-42.9589488117792,2016,125.302845488991,0.02152292,2020yCat.1350....0G,-483.458453280638,0.024456015,504.774317400857,0.024794802,2020yCat.1350....0G,,,,M4.5,2006AJ....132..866R,NIR Spec,3,12.030774,,14.073357,10.699945,,15.5,13.835,12.36,10.5,8.681,8.092,7.768,,,Gaia DR2 5535361753834861312,Gaia EDR3 5535361753834861312,SCR J0740-4257,,,,,...
291,175,Wolf 922,LM,GJ 831 A,322.83298125885,-9.7909653464,2016,125.3,0.3,2016AJ....152..141B,1246.51,0.947,-61.066,0.8,2018yCat.1345....0G,-57.7,0.6,2006AstL...32..759G,M4.5,2002AJ....123.2002H,Opt Spec,3,10.4711,,12.24492,9.162052,14.901,13.67,12.006,10.708,9.038,7.316,6.701,6.379,1987AJ.....93.1245M,,Gaia DR2 6894054664842632448,Gaia EDR3 6894054664842632448,GJ 831 A,BB Cap A,GJ 831 A,,HIP 106255,Gaia parallax less accurate
292,175,Wolf 922,LM?,GJ 831 B,322.83298125885,-9.7909653464,2016,125.3,0.3,FROM:GJ831A,1246.51,0.947,-61.066,0.8,FROM:GJ831A,,,,,,,,,,,,,,,,,,,,1987AJ.....93.1245M,,,,GJ 831 B,BB Cap B,GJ 831 B,,,Possible M dwarf
293,176,pi.03 Ori,*,pi.03 Ori,72.462124021191,6.96133100853746,2016,124.619801414245,0.22457013,2020yCat.1350....0G,463.95440348491,0.23709324,11.937009936844,0.18054439,2020yCat.1350....0G,22.411,0.52,2017AJ....153...75K,F6,2001AJ....121.2148G,Opt Phot,3,3.0879216,,3.513966,2.7081478,3.62,3.63,3.19,2.77,2.51,2.36,2.15,2.05,,,Gaia DR2 3288921720024442496,Gaia EDR3 3288921720025503360,pi.03 Ori,Tabit,GJ 178,HD 30652,HIP 22449,...
294,177,CD-44 3045,LM,CD-44 3045 A,104.43732954613,-44.291396054396,2016,124.569549321917,0.049491733,2020yCat.1350....0G,-1118.07336088228,0.06305355,-48.9344138822323,0.067031786,2020yCat.1350....0G,-20.3,10,1996AJ....112.2799H,M3,1995AJ....110.1838R,Opt Spec,3,10.418207,,11.823463,9.18865,13.694,12.537,10.846,9.717,8.316,6.883,6.365,6.056,2015MNRAS.449.2618W,,Gaia DR2 5559035514779133056,Gaia EDR3 5559035514779971456,CD-44 3045 A,,GJ 257 A,,HIP 33499,...
295,177,CD-44 3045,LM,CD-44 3045 B,104.436471907714,-44.291651313998,2016,124.356894545559,0.039878186,2020yCat.1350....0G,-1172.18912730419,0.050886545,-125.36987530414,0.05050896,2020yCat.1350....0G,,,,M3,1985ApJS...59..197B,Opt Spec,3,10.381962,,11.800207,9.160427,,13.81,11.29,,,,,,2015MNRAS.449.2618W,,Gaia DR2 5559035514776717312,Gaia EDR3 5559035514776717312,CD-44 3045 B,,GJ 257 B,,,...
296,178,G 122-49,LM,GJ 1151,177.730163812356,48.3730997965196,2016,124.337774911111,0.05490648,2020yCat.1350....0G,-1545.06886110358,0.023162248,-962.723933105707,0.053563867,2020yCat.1350....0G,-35.325,0.0201,2018A&A...616A...7S,M4.5,2019A&A...625A..68S,Opt Spec,3,11.684706,,13.529427,10.387384,,15.1,,12.3,,8.488,7.952,7.637,,,Gaia DR2 786834302079285632,Gaia EDR3 786834302080370304,G 122-49,,GJ 1151,,,GJ 1151b is a controversial planet: detected by 2021arXiv210202233M but not by 2021arXiv210310216P
297,179,L 399-68,LM,L 399-68,190.188075268586,-43.5633219773272,2016,124.185133312975,0.029509502,2020yCat.1350....0G,-782.089989185698,0.024142688,689.561358562349,0.02580564,2020yCat.1350....0G,-35.294,0.001,2018A&A...616A...7S,M3,2002AJ....123.2002H,Opt Spec,3,10.983478,,12.4602165,9.7969675,15.365,13.969,12.239,11.075,9.619,8.217,7.703,7.413,,,Gaia DR2 6133474952391837824,Gaia EDR3 6133474952391837824,L 399-68,,GJ 480.1,,HIP 61874,...
298,180,chi Dra,*,chi Dra A,275.272033052127,72.7312778035563,2016,124.11,0.87,2007A&A...474..653V,531.21,1.03,-349.71,0.94,2007A&A...474..653V,31.9,0.14,2004A&A...424..727P,F7,2001AJ....121.2148G,Opt Spec,3,3.3877,,3.8005025,2.9613743,4.01,4.07,3.58,3.14,2.83,2.5,2.22,2.18,2010AJ....139.2308F,,Gaia DR2 2266693630693473024,Gaia EDR3 2266693630693936512,chi Dra A,,GJ 713 A,HD 170153 A,HIP 89937,...
299,180,chi Dra,*,chi Dra B,275.272033052127,72.7312778035563,2016,124.11,0.87,FROM:chiDraA,531.21,1.03,-349.71,0.94,FROM:chiDraA,,,,K0,1987AJ.....93.1236T,Opt Phot,10,,4.66,,,,,,,,,,,2010AJ....139.2308F,,,,chi Dra B,,GJ 713 B,HD 170153 B,,...
300,181,Wolf 437,LM,GJ 486,191.98138882517,9.74935423088222,2016,123.775637883824,0.03286869,2020yCat.1350....0G,-1008.26706719961,0.040299945,-460.033946083774,0.03279866,2020yCat.1350....0G,19.106,0.0128,2018A&A...616A...7S,M3.5e,2013AJ....145..102L,Opt Spec,3,10.105141,,11.642647,8.88834,14.088,12.958,11.395,10.235,8.707,7.195,6.666,6.362,,1,Gaia DR2 3735000631158990976,Gaia EDR3 3735000631158990976,Wolf 437,,GJ 486,,HIP 62452,...
301,181,Wolf 437,Planet,GJ 486 b,191.98138882517,9.74935423088222,2016,123.775637883824,0.03286869,FROM:GJ486,,,,,,,,,,,,,,,,,,,,,,,,,2021Sci...371.1038T,,,,,,,,,...
302,182,2MASSW J2148162+400359,BD,2MASSW J2148162+400359,327.072395464287,40.0685177930154,2016,123.67523594876,0.3595069,2020yCat.1350....0G,772.175608915056,0.3621617,458.243239855136,0.35371768,2020yCat.1350....0G,-14.52,0.71,2016ApJS..225...10F,L7,2014AJ....147...34S,NIR Spec,3,19.818087,,21.344938,18.1991,,,,,,14.147,12.78,11.765,,,Gaia DR2 1954170404122975232,Gaia EDR3 1954170404122975232,2MASSW J2148162+400359,,,,,...
303,183,G 262-15,LM,G 262-15,307.638263975162,65.4508181344036,2016,123.654659840212,0.014759887,2020yCat.1350....0G,443.263646615983,0.018659608,283.353691405475,0.017374905,2020yCat.1350....0G,10.578,0.0058,2018A&A...616A...7S,M2.5,2019A&A...625A..68S,Opt Spec,3,9.43527,,10.769656,8.285626,,12,,10.124,,6.735,6.136,5.933,,,Gaia DR2 2246206567973292160,Gaia EDR3 2246206567973292160,G 262-15,,GJ 793,,HIP 101180,...
304,184,G 13-22,LM,G 13-22,183.564725599556,0.62272712930512,2016,123.642956583913,0.0448867,2020yCat.1350....0G,-951.335674088225,0.056389533,-284.049377407014,0.038930696,2020yCat.1350....0G,-12.87,0.15,2010MNRAS.407.2269M,M4.5e,2015AJ....149..106D,Opt Spec,3,11.828689,,13.859386,10.490647,,15.4,,13.309,,8.456,7.86,7.54,,,Gaia DR2 3698534434669937024,Gaia EDR3 3698534434669937024,G 13-22,,GJ 1154,,,The spectroscopic binarity classification proposed by 2013A&A...549A.109B is almost certainly due to activity. Visual companion: neither 2008MNRAS.384..150L nor 2012AJ....144...64D (with NICMOS onboard Hubble) detected it. We believe that 1996AJ....112.2799H made reference to the background star 2MASS J12141817+0037297 (Gaia parallax of 1.27 mas)
305,185,L 674-15,LM,L 674-15,123.170435031632,-21.5550239856716,2016,123.203294505224,0.02362702,2020yCat.1350....0G,13.4584233738766,0.01725299,-693.986864442085,0.01909765,2020yCat.1350....0G,8.68,0.024,2020A&A...636A..36L,M3.5,2002AJ....123.2002H,Opt Spec,3,10.67168,,12.363419,9.416186,,13.81,12.13,11.75,9.24,7.601,6.964,6.705,,,Gaia DR2 5700706729031126656,Gaia EDR3 5700706729031126656,L 674-15,,GJ 300,,,...
306,186,EGGR 290,WD,EGGR 290,89.1040982198053,5.35934470932901,2016,123.198853165182,0.017005328,2020yCat.1350....0G,-444.684604446781,0.017798543,-925.139652037854,0.015032777,2020yCat.1350....0G,,,,DA8P,2009AJ....138.1681S,Opt Spec,3,13.967377,,14.296304,13.465378,,14.77,14.13,14,,12.93,12.72,12.653,,,,Gaia EDR3 3320184202856435840,EGGR 290,,GJ 1087,,,...
307,187,2MASS J00345157+0523050,BD,2MASS J00345157+0523050,8.717679,5.385476,2015.5,118.8,2.7,2021ApJS..253....7K,673.6,1.3,178.2,1.5,2021ApJS..253....7K,,,,T6.5,2006AJ....131.2722C,NIR Spec,20,,24.88,,,,,,,,15.14,15.576,16.073,,,,,2MASS J00345157+0523050,,,,,...
308,188,TYC 3980-1081-1,LM,IRAS 21500+5903,327.90897023854,59.29444661984,2016,123.0568,0.5944,2018yCat.1345....0G,-79.19,1.186,10.517,1.173,2018yCat.1345....0G,,,,M2?,2018A&A...613A..26S,NIR Phot,3,9.408596,,10.841877,8.198676,,11.88,10.64,,,6.529,5.86,5.651,2018A&A...613A..26S,,Gaia DR2 2202703050388170880,Gaia EDR3 2202703050388170880,IRAS 21500+5903,,,,,...
309,188,TYC 3980-1081-1,WD,UCAC4 747-070768,327.916360419321,59.2929297833234,2016,118.155136551319,0.015516662,2020yCat.1350....0G,-86.7422700878051,0.01826393,-19.2366648491057,0.018065205,2020yCat.1350....0G,,,,DAH,2020MNRAS.497..130T,Opt Spec,3,14.373105,,14.813503,13.762923,,,,14.51,,12.972,12.803,12.654,2018A&A...613A..26S,,Gaia DR2 2202703050401536000,Gaia EDR3 2202703050401536000,UCAC4 747-070768,,,,,...
310,189,BD+18 3421,LM,GJ 686,264.476623651781,18.5960876543546,2016,122.554606510855,0.017568411,2020yCat.1350....0G,926.638116636646,0.01580357,984.455172787448,0.018191148,2020yCat.1350....0G,-9.51,0.0008,2018A&A...616A...7S,M1.5e,2013AJ....145..102L,Opt Spec,3,8.74288,,9.8210335,7.7107677,12.315,11.109,9.577,8.599,7.525,6.36,5.79,5.572,,1,Gaia DR2 4550763526539955712,Gaia EDR3 4550763526539955712,BD+18 3421,,GJ 686,,HIP 86287,...
311,189,BD+18 3421,Planet,GJ 686 b,264.476623651781,18.5960876543546,2016,122.554606510855,0.017568411,FROM:GJ686,,,,,,,,,,,,,,,,,,,,,,,,,2019A&A...627A.116L,,,,,,,,,...
312,190,LAWD 26,WD,LAWD 26,118.301184457219,-67.7986724498887,2016,122.413019246179,0.011389391,2020yCat.1350....0G,1467.1233866646,0.01406614,-1489.72102908277,0.015046423,2020yCat.1350....0G,,,,DA,2017AJ....154...32S,Opt Spec,3,13.777515,,14.1209345,13.261633,,14.75,14.09,,,12.726,12.476,12.362,,,Gaia DR2 5273943488410008832,Gaia EDR3 5273943488410008832,LAWD 26,,GJ 293,,,...
313,191,UGPS J052127.27+364048.6,BD,UGPS J052127.27+364048.6,80.363625,36.680167,2007.8,122.2,1.6,2019ApJS..240...19K,513,10,-1507,10,2011MNRAS.414L..90B,,,,T8.5,2011MNRAS.414L..90B,NIR Spec,20,,24.51,,,,,,,,,,,,,,,UGPS J052127.27+364048.6,,,,,...
314,192,p Eri,*,GJ 66 A,24.9506566237578,-56.1964000662511,2016,122.00347235304,0.03193793,2020yCat.1350....0G,309.229825857371,0.02864282,10.815266219876,0.031780697,2020yCat.1350....0G,23.48,0.17,2005ApJS..159..141V,K2,2006AJ....132..161G,Opt Spec,3,5.6254873,,6.089998,4.9957995,,6.692,5.797,,,4.04,,3.51,2015MNRAS.449.3160R,,Gaia DR2 4911306239828325760,Gaia EDR3 4911306239828325760,GJ 66 A,,GJ 66 A,HD 10361,,...
315,192,p Eri,*,GJ 66 B,24.9513174155062,-56.1932513847667,2016,122.108812649359,0.036529314,2020yCat.1350....0G,262.614930346949,0.032002505,14.9613007125027,0.03570043,2020yCat.1350....0G,,,,K2,2006AJ....132..161G,Opt Spec,3,5.5083017,,5.9569917,4.886207,,6.549,5.685,6.36,,3.57,,3.56,2015MNRAS.449.3160R,,Gaia DR2 4911306239828325632,Gaia EDR3 4911306239828325632,GJ 66 B,,GJ 66 B,HD 10360,,...
316,193,L 173-19,LM,L 173-19,30.1604350973256,-55.9682605125918,2016,121.708448207783,0.031887542,2020yCat.1350....0G,113.394990916631,0.031165347,-69.5591660509173,0.037995238,2020yCat.1350....0G,1.559,2.037,2013AJ....146..134K,M2,2018AJ....155..265H,Opt-NIR Phot,3,10.557133,,12.121607,9.335875,,13.467,12.9,,,7.625,7.088,6.773,,,Gaia DR2 4719430083410927232,Gaia EDR3 4719430087707860736,L 173-19,,,,,...
317,194,HD 217357,*,HD 217357,345.062835319943,-22.5240892127515,2016,121.472361391852,0.024886552,2020yCat.1350....0G,-902.073178261811,0.027099198,58.044865405649,0.02247785,2020yCat.1350....0G,15.981,0.0422,2018A&A...616A...7S,K7,2006AJ....132..161G,Opt Spec,3,7.259579,,8.093845,6.3603644,10.494,9.251,7.869,7.014,6.238,5.346,4.696,4.478,,,Gaia DR2 2396530698208685312,Gaia EDR3 2396530698208685312,HD 217357,,GJ 884,HD 217357,HIP 113576,...
318,195,Ross 318,LM,Ross 318,15.6590118755956,71.6781204945408,2016,121.459828714898,0.015784185,2020yCat.1350....0G,1746.70101321819,0.01672895,-381.762369718754,0.017081708,2020yCat.1350....0G,1.521,0.0011,2018A&A...616A...7S,M3e,2013AJ....145..102L,Opt Spec,3,8.941875,,10.254671,7.7960787,,11.736,,9.1,,6.301,5.699,5.449,,,Gaia DR2 533621859441169920,Gaia EDR3 533621859441169920,Ross 318,,GJ 48,,HIP 4856,...
319,196,WISE J115013.85+630241.5,BD,WISE J115013.85+630241.5,177.558965,63.044112,2015.4,121.4,2.7,2021ApJS..253....7K,407.2,1.1,-540.4,0.9,2021ApJS..253....7K,,,,T8,2011APJS..197...19K,NIR Spec,20,,25.02,,,,,,,,17.72,,,,,,,WISE J115013.85+630241.5,,,,,...
320,197,LAWD 96,WD,LAWD 96,0.548424219498226,-43.1684396182697,2016,120.014269976675,0.021522488,2020yCat.1350....0G,613.785269533822,0.018288197,-686.989240364349,0.01745327,2020yCat.1350....0G,-58.8,10.8,2006A&A...447..173P,DAP,2017AJ....154...32S,Opt Spec,3,12.895188,,13.002297,12.692817,,13.12,13.05,,,12.597,12.425,12.445,,,Gaia DR2 4994877094997259264,Gaia EDR3 4994877094997259264,LAWD 96,,GJ 915,,,...
321,198,mu. Her,*,mu. Her Aa,266.613213505844,27.7172750405054,2016,119.924808483701,0.1542597,2020yCat.1350....0G,-312.087377580422,0.14742194,-773.179055072433,0.15877306,2020yCat.1350....0G,-17.78,0.03,2018A&A...615A..31D,G5,2001AJ....121.2148G,Opt Phot,3,3.2384055,,3.743817,2.7218137,4.56,4.17,3.42,2.89,2.51,2.14,1.81,1.75,2016AJ....151..169R,,Gaia DR2 4594497769763697792,Gaia EDR3 4594497769766809216,mu. Her A,,GJ 695 A,HD 161797 Aa,HIP 86974,Subgiant
322,198,mu. Her,LM,mu. Her Ab,266.60269364371,27.7138205864248,2016,120.397914744319,0.27854753,2020yCat.1350....0G,-259.382612501146,0.2407395,-671.01280608539,0.42523998,2020yCat.1350....0G,,,,M4,2016AJ....151..169R,NIR Spec,3,9.58592,,10.057685,7.4465256,,,,,,,,,2016AJ....151..169R,,,Gaia EDR3 4594497838483177984,mu. Her A,,GJ 695 A,HD 161797 Ab,,...
323,198,mu. Her,LM,mu. Her B,266.602861443243,27.7137373691317,2016,119.887061364252,0.20551951,2020yCat.1350....0G,-413.974380289045,0.16249602,-798.516300875667,0.22695285,2020yCat.1350....0G,-16,5,1953GCRV..C......0W,M3.5,2015A&A...577A.128A,Opt Spec,3,9.184961,,10.055323,7.454041,,11.25,,9.4,,5.772,5.174,4.953,2014AN....335..817P,,Gaia DR2 4594497834189213184,Gaia EDR3 4594497834189213184,mu. Her B,,GJ 695 B,HD 161797 B,,...
324,198,mu. Her,LM?,mu. Her C,266.602861443243,27.7137373691317,2016,119.887061364252,0.20551951,FROM:mu.HerB,-413.974380289045,0.16249602,-798.516300875667,0.22695285,FROM:mu.HerB,,,,,,,,,,,,,,,,,,,,2014AN....335..817P,,,,mu. Her C,,GJ 695 C,,,Possible M dwarf
325,199,G 207-16,LM,GJ 747 A,286.935565597892,32.5497992087119,2016,120.2,0.2,2010A&ARv..18...67T,1232,5,1140,8,2003AJ....125..984M,-49.3,1.1,2016A&A...596A.116S,M3.5e,2013AJ....145..102L,Opt Spec,3,10.45,,11.516892,8.862228,,12.97,11.26,10.1,8.65,7.242,6.665,6.416,1987A&AS...71...57B,,Gaia DR2 2042937585610945536,Gaia EDR3 2042937585610945536,GJ 747 A,,GJ 747 A,,,...
326,199,G 207-16,LM?,GJ 747 B,286.935565597892,32.5497992087119,2016,120.2,0.2,FROM:GJ747A,1232,5,1140,8,FROM:GJ747A,,,,,,,,,,,,,,,,,,,,1987A&AS...71...57B,,,,GJ 747 B,,GJ 747 B,,,Possible M dwarf
327,200,Wolf 489,WD,Wolf 489,204.116079408118,3.67447928670874,2016,119.75661648253,0.030381203,2020yCat.1350....0G,-3735.83924461799,0.025654508,-1113.58113685343,0.018202309,2020yCat.1350....0G,,,,DA,2015ApJS..219...19L,Opt Spec,3,14.37472,,14.870136,13.721761,,15.66,,14.48,,13.064,12.819,12.69,,,,Gaia EDR3 3713594960831605760,Wolf 489,,GJ 518,,,...
328,201,2MASS J03480772-6022270,BD,2MASS J03480772-6022270,57.030457,-60.376464,2010.7,120.1,1.8,2019ApJS..240...19K,-279.7,0.6,-768.5,0.7,2019ApJS..240...19K,,,,T7,2006APJ...639.1095B,NIR Spec,20,,24.46,,,,,,,,15.318,15.559,15.602,,,,,2MASS J03480772-6022270,,,,,...
329,202,G 227-29,LM,G 227-29,275.603837958411,62.0449938747745,2016,119.751864887912,0.034086667,2020yCat.1350....0G,-955.101711187115,0.046733692,-1235.60895536608,0.03977484,2020yCat.1350....0G,-13.646,0.0154,2018A&A...616A...7S,M4,2015A&A...577A.128A,Opt Spec,3,11.824005,,13.684364,10.52525,,14.8,,12.2,,8.64,8.047,7.743,,,,Gaia EDR3 2159844052779000064,G 227-29,,GJ 1227,,,...
330,203,G 130-4,LM,G 130-4,355.78150915638,36.536310377293,2016,119.57940519812,0.05627809,2020yCat.1350....0G,941.840666280804,0.05652775,-151.27152377977,0.04829269,2020yCat.1350....0G,-2.597,0.0197,2018A&A...616A...7S,M4,2019A&A...625A..68S,Opt Spec,3,11.167953,,12.913157,9.902516,,14.27,12.67,11.4,,8.11,7.446,7.226,,,Gaia DR2 2879455480941956736,Gaia EDR3 2879455480942629248,G 130-4,,GJ 1289,,,...
331,204,SCR J1546-5534,LM,SCR J1546-5534 A,236.67171878023,-55.58097967018,2016,119.0962,0.7032,2018yCat.1345....0G,-254.533,1.034,-251.335,1.047,2018yCat.1345....0G,,,,M8,2017A&A...600A..19P,Opt Spec,3,14.632,,17.853891,13.015483,,18.2,,16.4,12.96,10.209,9.55,9.112,2018AJ....155..265H,,Gaia DR2 5884382654716110848,Gaia EDR3 5884382654716110848,SCR J1546-5534,,,,,...
332,204,SCR J1546-5534,BD,SCR J1546-5534 B,236.67171878023,-55.58097967018,2016,119.0962,0.7032,FROM:SCRJ1546-5534A,-254.533,1.034,-251.335,1.047,FROM:SCRJ1546-5534,,,,T6,2012A&A...540A.131V,NIR Spec,10,,21.11,,,,,,,,,,,2018AJ....155..265H,,,,SCR J1546-5534,,,,,...
333,205,HD 32450,LM,HD 32450 A,75.6178310374648,-21.2578783269349,2016,119.573743937206,0.04195274,2020yCat.1350....0G,-166.877156116735,0.03486889,-269.183007505226,0.034829374,2020yCat.1350....0G,-13.272,0.0315,2018A&A...616A...7S,M0,2014MNRAS.443.2561G,Opt Spec,3,7.7924075,,8.551479,6.645775,10.97,9.77,8.317,7.405,6.492,5.45,4.853,4.6,2001AJ....121.2189O,,Gaia DR2 2974726131970829952,Gaia EDR3 2974726131970829952,HD 32450 A,,GJ 185 A,HD 32450 A,HIP 23452,...
334,205,HD 32450,LM?,HD 32450 B,75.6177659634484,-21.2576392020113,2016,118.824965364605,0.07951455,2020yCat.1350....0G,-111.655698134063,0.20715636,-235.833380275441,0.12931252,2020yCat.1350....0G,,,,,,,3,9.636776,,8.56764,6.6785455,,11.88,10.6,,,,,,2001AJ....121.2189O,,,Gaia EDR3 2974726136265625088,HD 32450 B,,GJ 185 B,HD 32450 B,,Possible M dwarf
335,206,SCR J1138-7721,LM,SCR J1138-7721,174.527965013102,-77.3607589439316,2016,119.341889132246,0.030471839,2020yCat.1350....0G,-2063.82879037011,0.038078148,616.59339847945,0.039443497,2020yCat.1350....0G,,,,M5,2014AJ....148...91L,Opt Spec,3,12.816201,,15.045261,11.456882,,,14.78,13.2,11.25,9.399,8.89,8.521,,,Gaia DR2 5224460173763882496,Gaia EDR3 5224460173763882496,SCR J1138-7721,,,,,...
336,207,bet CVn,*,bet CVn,188.431428383335,41.3587766940842,2016,118.02660559668,0.15303078,2020yCat.1350....0G,-704.702119354029,0.12613252,292.154659921246,0.17231429,2020yCat.1350....0G,6.268,0.0013,2018A&A...616A...7S,G0,2001AJ....121.2148G,Opt Spec,3,4.094672,,4.3963013,3.6018336,4.91,4.86,4.25,3.73,3.42,3.2,2.88,2.72,,,Gaia DR2 1534011998570864256,Gaia EDR3 1534011998572555776,bet CVn,Chara,GJ 475,HD 109358,HIP 61317,BD+42 2320 is not a physical companion (Gaia parallax = 1.154 mas). 1987ApJ...317..343M discard the spectroscopic binarity as claimed by 1976ApJS...30..273A
337,208,Ross 64,LM,Ross 64,96.1746889091721,23.4307785695678,2016,117.726269779118,0.02781314,2020yCat.1350....0G,550.91787880966,0.030382317,-508.332904134339,0.024191787,2020yCat.1350....0G,-11.656,0.024,2020A&A...636A..36L,M4,2015A&A...577A.128A,Opt Spec,3,11.662542,,13.368617,10.408452,,14.82,,12.691,,8.662,8.156,7.911,,,Gaia DR2 3377365057060447616,Gaia EDR3 3377365057060447616,Ross 64,,GJ 232,,,...
338,209,CD-37 10765,LM,CD-37 10765 A,245.010422084628,-37.5246104467139,2016,117.471594175335,0.029081289,2020yCat.1350....0G,-748.039366021993,0.03211439,988.103520188084,0.027110754,2020yCat.1350....0G,27.982,0.0011,2018A&A...616A...7S,M3,2014MNRAS.443.2561G,Opt Spec,3,9.495382,,10.836117,8.347611,13.314,12.145,10.586,9.495,8.116,6.793,6.223,5.95,2015MNRAS.449.2618W,,Gaia DR2 6021430250773348736,Gaia EDR3 6021430250773348736,CD-37 10765 A,,GJ 618 A,,,...
